"分區編號
DCCA Code",區議會選區,Constituency,點票站編號 Counting Station Code,點票站,Counting Station,"候選人編號 1 
Candidate Number 1","候選人編號 2 
Candidate Number 2","候選人編號 3 
Candidate Number 3","候選人編號 4 
Candidate Number 4","候選人編號 5 
Candidate Number 5","候選人編號 6 
Candidate Number 6"
L01,屯門市中心,TUEN MUN TOWN CENTRE,L0101,屯門大會堂展覽廳,"Exhibition Gallery, Tuen Mun Town Hall",684,1165,--,--,--,--
L01,屯門市中心,TUEN MUN TOWN CENTRE,L0102,聖公會聖西門呂明才中學,SKH St. Simon's Lui Ming Choi Secondary School,150,352,--,--,--,--
L02,兆置,SIU CHI,L0201,保良局香港道教聯合會圓玄小學,PLK HKTA Yuen Yuen Primary School,2909,1273,190,--,--,--
L02,兆置,SIU CHI,L0202,仁愛堂劉皇發夫人小學,Yan Oi Tong Madam Lau Wong Fat Primary School,642,259,42,--,--,--
L03,兆翠,SIU TSUI,L0301,深培中學,Semple Memorial Secondary School,1455,114,1165,--,--,--
L03,兆翠,SIU TSUI,L0302,青松侯寶垣中學,Ching Chung Hau Po Woon Secondary School,1683,78,1371,--,--,--
L04,安定,ON TING,L0401,安定/友愛社區中心,On Ting/Yau Oi Community Centre,1642,1740,--,--,--,--
L04,安定,ON TING,L0402,聖公會青山聖彼得堂兆麟苑幼稚園,SKH St. Peter's Church Castle Peak Siu Lun Court Kindergarten,574,643,--,--,--,--
L05,友愛南,YAU OI SOUTH,L0501,順德聯誼總會譚伯羽中學,STFA Tam Pak Yu College,1057,2085,--,--,--,--
L06,友愛北,YAU OI NORTH,L0601,伊斯蘭學校,Islamic Primary School,1299,1319,72,--,--,--
L06,友愛北,YAU OI NORTH,L0602,仁濟醫院何式南小學,YCH Ho Sik Nam Primary School,317,412,20,--,--,--
L08,山景,SHAN KING,L0801,山景社區會堂,Shan King Community Hall,1853,1605,--,--,--,--
L10,興澤,HING TSAK,L1001,大興體育館,Tai Hing Sports Centre,1498,2673,--,--,--,--
L11,新墟,SAN HUI,L1101,仁愛堂胡忠長者地區中心,Yan Oi Tong Woo Chung District Elderly Community Centre,165,86,154,--,--,--
L11,新墟,SAN HUI,L1102,井財街社區會堂,Tseng Choi Street Community Hall,577,545,945,--,--,--
L12,三聖,SAM SHING,L1201,救世軍三聖邨劉伍英學校,The Salvation Army Sam Shing Chuen Lau Ng Ying School,439,1134,--,--,--,--
L12,三聖,SAM SHING,L1202,海關訓練學校,Customs and Excise Training School,453,703,--,--,--,--
L13,恆褔,HANFORD,L1301,鐘聲慈善社胡陳金枝中學,Chung Sing Benevolent Society Mrs Aw Boon Haw Secondary School,663,260,13,163,--,--
L13,恆褔,HANFORD,L1302,入境事務學院,Immigration Service Institute of Training and Development,786,223,54,281,--,--
L13,恆褔,HANFORD,L1303,保良局西區婦女福利會馮李佩瑤小學,PLK Women's Welfare Club Western District Fung Lee Pui Yiu Primary School,1148,538,29,253,--,--
L14,富新,FU SUN,L1401,新屯門中心社區中心,Community Centre of Sun Tuen Mun Centre,676,179,445,920,2493,172
L15,悅湖,YUET WU,L1501,南屯門官立中學,South Tuen Mun Government Secondary School,2073,1682,--,--,--,--
L16,兆禧,SIU HEI,L1601,世界龍岡學校劉德容紀念小學,LKWFS Lau Tak Yung Memorial Primary School,1488,2021,--,--,--,--
L17,湖景,WU KING,L1701,東華三院辛亥年總理中學,TWGHs Sun Hoi Directors' College,1454,1049,--,--,--,--
L18,蝴蝶,BUTTERFLY,L1801,五邑鄒振猷學校,FDBWA Chow Chin Yau School,1299,483,--,--,--,--
L18,蝴蝶,BUTTERFLY,L1802,蝴蝶灣社區中心,Butterfly Bay Community Centre,1206,1466,--,--,--,--
L19,樂翠,LOK TSUI,L1901,香港路德會增城兆霖學校,Lutheran Tsang Shing Siu Leun School,1742,97,367,22,84,1617
L19,樂翠,LOK TSUI,L1902,龍鼓灘村公所,Lung Kwu Tan Village Office,271,2,24,3,10,119
L21,新景,SAN KING,L2101,香港紅卍字會屯門卍慈小學,HKRSS Tuen Mun Primary School,1243,2686,--,--,--,--
L22,良景,LEUNG KING,L2201,良景社區中心,Leung King Community Centre,2366,1290,--,--,--,--
L23,田景,TIN KING,L2301,柏立基教育學院校友會何壽基學校,SRBCEPSA Ho Sau Ki School,2295,1321,--,--,--,--
L24,寶田,PO TIN,L2401,保良局志豪小學,PLK Horizon East Primary School,2073,288,--,--,--,--
L24,寶田,PO TIN,L2402,屯門紫田村村公所,Tuen Mun Tsz Tin Tsuen Village Office,443,114,--,--,--,--
L25,建生,KIN SANG,L2501,建生社區會堂,Kin Sang Community Hall,1283,2456,--,--,--,--
L26,兆康,SIU HONG,L2601,屯門官立小學,Tuen Mun Government Primary School,2677,80,2267,--,--,--
L27,景峰,PRIME VIEW,L2701,聖公會蒙恩小學,SKH Mung Yan Primary School,2151,878,--,--,--,--
L27,景峰,PRIME VIEW,L2702,興德學校,Hing Tak School,819,248,--,--,--,--
L28,富泰,FU TAI,L2801,嶺南大學郭少明伉儷樓,"Simon and Eleanor Kwok Building, Lingnan University",2610,949,--,--,--,--
L28,富泰,FU TAI,L2802,福亨村村公所,Fuk Hang Tsuen Village Office,213,95,--,--,--,--
L29,屯門鄉郊,TUEN MUN RURAL,L2901,僑所公立學校,Kiu Saw Public School,274,650,--,--,--,--
L29,屯門鄉郊,TUEN MUN RURAL,L2902,屯門學校,Tuen Mun School,188,524,--,--,--,--
L29,屯門鄉郊,TUEN MUN RURAL,L2903,屯門新村村公所,Tuen Mun San Tsuen Village Office,266,470,--,--,--,--
