"分區編號
DCCA Code",區議會選區,Constituency,點票站編號 Counting Station Code,點票站,Counting Station,"候選人編號 1 
Candidate Number 1","候選人編號 2 
Candidate Number 2","候選人編號 3 
Candidate Number 3","候選人編號 4 
Candidate Number 4"
G01,馬頭圍,MA TAU WAI,G0101,馬頭涌官立小學,Ma Tau Chung Government Primary School,2670,2625,--,--
G02,馬坑涌,MA HANG CHUNG,G0201,土瓜灣體育館,To Kwa Wan Sports Centre,1618,148,1663,--
G03,馬頭角,MA TAU KOK,G0301,保良局林文燦英文小學,PLK Lam Man Chan English Primary School,1790,768,--,--
G04,樂民,LOK MAN,G0401,獻主會聖馬善樂小學,St. Eugene de Mazenod Oblate Primary School,2310,1561,--,--
G05,常樂,SHEUNG LOK,G0501,聖文嘉幼稚園,St. Monica's Kindergarten,120,1559,1196,--
G05,常樂,SHEUNG LOK,G0502,循道衛理楊震社會服務處何文田青少年綜合發展中心,YMMSS Homantin Integrated Centre for Youth Development,89,1217,1136,--
G06,何文田,HO MAN TIN,G0601,余振強紀念中學,Yu Chun Keung Memorial College,1488,1210,--,--
G06,何文田,HO MAN TIN,G0602,何文田官立中學,Homantin Government Secondary School,888,642,--,--
G07,嘉道理,KADOORIE,G0701,明愛九龍社區中心,Caritas Community Centre - Kowloon,581,47,675,--
G07,嘉道理,KADOORIE,G0702,九龍總商會,Kowloon Chamber of Commerce,752,45,1703,--
G10,龍城,LUNG SHING,G1001,九龍城體育館,Kowloon City Sports Centre,395,2021,--,--
G11,宋皇臺,SUNG WONG TOI,G1101,聖三一堂小學,Holy Trinity Primary School,2015,502,694,--
G12,啓德北,KAI TAK NORTH,G1201,保良局溫林美賢耆暉中心,PLK Wan Lam May Yin Shirley Neighborhood Elderly Centre,2610,73,16,932
G13,啓德南,KAI TAK SOUTH,G1301,佛教陳策文伉儷幼稚園,Buddhist Mr & Mrs Chan Chart Man Kindergarten,2199,763,--,--
G14,海心,HOI SHAM,G1401,聖公會聖匠小學,SKH Holy Carpenter Primary School,2478,654,--,--
G15,土瓜灣北,TO KWA WAN NORTH,G1501,土瓜灣市政大廈室內羽毛球場,To Kwa Wan Complex Indoor Games Room,204,177,1544,--
G16,土瓜灣南,TO KWA WAN SOUTH,G1601,中華基督教會基道中學,CCC Kei To Secondary School,1719,1020,--,--
G17,鶴園海逸,HOK YUEN LAGUNA VERDE,G1701,博愛醫院任永賢夫人幼稚園幼兒中心,POH Mrs Yam Wing Yin Kindergarten Day Nursery,572,1366,530,--
G17,鶴園海逸,HOK YUEN LAGUNA VERDE,G1702,紅磡社區會堂,Hung Hom Community Hall,378,241,609,--
G18,黃埔東,WHAMPOA EAST,G1801,葛量洪校友會黃埔學校,GCE Past Students' Association Whampoa Primary School,596,2345,2041,--
G19,黃埔西,WHAMPOA WEST,G1901,聖公會奉基千禧小學,SKH Fung Kei Millennium Primary School,2114,2075,--,--
G20,紅磡灣,HUNG HOM BAY,G2001,聖公會聖匠中學,SKH Holy Carpenter Secondary School,47,162,1740,1811
G21,紅磡,HUNG HOM,G2101,紅磡市政大廈體育館,Hung Hom Municipal Services Building Sports Centre,1173,1544,31,--
G23,愛民,OI MAN,G2301,何文田體育館,Ho Man Tin Sports Centre,2806,1547,--,--
G24,愛俊,OI CHUN,G2401,路德會包美達社區中心,Martha Boss Lutheran Community Centre,2772,1842,--,--
