"分區編號
DCCA Code",區議會選區,Constituency,點票站編號 Counting Station Code,點票站,Counting Station,"候選人編號 1 
Candidate Number 1","候選人編號 2 
Candidate Number 2","候選人編號 3 
Candidate Number 3","候選人編號 4
Candidate Number 4",,
C01,太古城西,TAI KOO SHING WEST,C0101,東區少年警訊會所,Eastern District JPC Club House,3362,1268,--,--,,
C02,太古城東,TAI KOO SHING EAST,C0201,聖安娜中英文幼稚園,St. Anna Anglo-Chinese Kindergarten,1199,1409,--,--,,
C02,太古城東,TAI KOO SHING EAST,C0202,太古城郵政局,Tai Koo Shing Post Office,1388,1265,--,--,,
C03,鯉景灣,LEI KING WAN,C0301,西灣河健康中心,Sai Wan Ho Health Centre,1612,2008,955,211,,
C04,愛秩序灣,ALDRICH BAY,C0401,中華基督教會基灣小學 (愛蝶灣),CCC Kei Wan Primary School (Aldrich Bay),2720,2401,--,--,,
C05,筲箕灣,SHAUKEIWAN,C0501,筲箕灣郵政局,Shau Kei Wan Post Office,1429,1444,107,--,,
C06,阿公岩,A KUNG NGAM,C0601,愛秩序灣官立小學,Aldrich Bay Government Primary School,483,1540,491,--,,
C06,阿公岩,A KUNG NGAM,C0602,筲箕灣官立小學,Shau Kei Wan Government Primary School,1213,270,621,--,,
C07,杏花邨,HENG FA CHUEN,C0701,嶺南中學,Lingnan Secondary School,610,2025,3642,--,,
C08,翠灣,TSUI WAN,C0801,聖公會李福慶中學,SKH Li Fook Hing Secondary School,1629,69,1572,1181,,
C10,小西灣,SIU SAI WAN,C1001,小西灣社區會堂,Siu Sai Wan Community Hall,1981,783,1229,--,,
C11,景怡,KING YEE,C1101,培僑小學,Pui Kiu Primary School,195,1950,930,2257,,
C12,環翠,WAN TSUI,C1201,救世軍中原慈善基金學校,The Salvation Army Centaline Charity Fund School,1436,2227,--,--,,
C13,翡翠,FEI TSUI,C1301,文理書院 (香港),Cognitio College (Hong Kong),1797,2314,114,--,,
C21,丹拿,TANNER,C2101,啟基學校 (港島),Chan's Creative School (Hong Kong Island),2338,2039,--,--,,
C23,鰂魚涌,QUARRY BAY,C2301,北角官立小學,North Point Government Primary School,1010,1656,--,--,,
C24,南豐,NAM FUNG,C2401,鰂魚涌社區會堂,Quarry Bay Community Hall,1182,42,3343,--,,
C25,康怡,KORNHILL,C2501,佛教中華康山學校,Buddhist Chung Wah Kornhill Primary School,29,2535,2443,--,,
C26,康山,KORNHILL GARDEN,C2601,太古小學,Taikoo Primary School,1814,2384,--,--,,
C27,興東,HING TUNG,C2701,青松興東幼稚園,Ching Chung Hing Tung Kindergarten,1246,1829,--,--,,
C27,興東,HING TUNG,C2702,伊斯蘭徐錦享紀念幼稚園,Islamic Abu Bakar Chui Memorial Kindergarten,1562,1481,--,--,,
C28,西灣河,SAI WAN HO,C2801,西灣河體育館,Sai Wan Ho Sports Centre,1956,2222,--,--,,
C29,下耀東,LOWER YIU TUNG,C2901,勵志會梁李秀娛紀念小學,The Endeavourers Leung Lee Sau Yu Memorial Primary School,977,464,686,--,,
C29,下耀東,LOWER YIU TUNG,C2902,筲箕灣街坊福利事務促進會有限公司,Shau Kei Wan Kai-fong Welfare Advancement Association Ltd.,681,513,306,--,,
C31,興民,HING MAN,C3101,粵南信義會腓力堂興民幼兒學園,Lutheran Philip House Hing Man Nursery School,622,1007,--,--,,
C31,興民,HING MAN,C3102,路德會聖雅各幼稚園,St. James Lutheran Kindergarten,769,1463,--,--,,
C32,樂康,LOK HONG,C3201,天主教明德學校,Meng Tak Catholic School,1729,35,1952,--,,
C32,樂康,LOK HONG,C3202,循道愛華村服務中心社會福利部 - 愛華青少年綜合服務隊 (愛華服務處),"Methodist Epworth Village Community Centre, Social Welfare - Epworth Integrated Youth Team (Epworth Base)",240,13,444,--,,
C33,翠德,TSUI TAK,C3301,柴灣母嬰健康院,Chai Wan Maternal and Child Health Centre,2351,979,--,--,,
C34,漁灣,YUE WAN,C3401,漁灣社區會堂,Yue Wan Community Hall,1863,2026,--,--,,
C35,佳曉,KAI HIU,C3501,香港中華基督教青年會  -  柴灣會所,Chinese YMCA of Hong Kong-Chai Wan Centre,1126,1676,--,--,,
C35,佳曉,KAI HIU,C3502,道慈佛社楊譚婉芳幼稚園,Buddhist To Chi Fat She Yeung Tam Yuen Fong Kindergarten,388,565,--,--,,
